FeatureID	A1-1	A1-2	A1-3	A1-4	A1-5	B2-3-1	B2-3-2	B2-3-3	B2-3-4	B2-3-5	C3-7-1	C3-7-2	C3-7-3	C3-7-4	C3-7-5	D1-1	D1-2	D1-3	D1-4	D1-5	E2-3-1	E2-3-2	E2-3-3	E2-3-4	E2-3-5	F3-7-1	F3-7-2	F3-7-3	F3-7-4	F3-7-5	M3-1	M3-2	M3-3	M3-4	M3-5	N3-3-1	N3-3-2	N3-3-3	N3-3-4	N3-3-5	O3-1	O3-2	O3-3	O3-4	O3-5	P3-3-1	P3-3-2	P3-3-3	P3-3-4	P3-3-5	Q3-1	Q3-2	Q3-3	Q3-4	Q3-5	R3-3-1	R3-3-2	R3-3-3	R3-3-4	R3-3-5	S3-1	S3-2	S3-3	S3-4	S3-5	T3-3-1	T3-3-2	T3-3-3	T3-3-4	T3-3-5	U1-1	U1-2	U1-3	U1-4	U1-5	V2-3-1	V2-3-2	V2-3-3	V2-3-4	V2-3-5	W3-7-1	W3-7-2	W3-7-3	W3-7-4	W3-7-5	X1-1	X1-2	X1-3	X1-4	X1-5	Y2-3-1	Y2-3-2	Y2-3-3	Y2-3-4	Y2-3-5	Z3-7-1	Z3-7-2	Z3-7-3	Z3-7-4	Z3-7-5
e72b4c1efe646dc88ca41efb651a4a8f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
01f8f0f9b5ddf4b854efed10ccf56369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c75d0efd9edc075d6d41b6351461919a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	8	0	0	0	21	17	0	0	0	0	0	0	0	7	0	0	27	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	8	0	81	12	0	0	0	0	0	0	0
ccfc1f5e9005b7969dc1425776f97f2d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	6	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	3
dfb4fbadf5348c78ec544fa4aa0db88b	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2c5664be3648ec09af1630d2cf1adebe	88	44	193	86	327	3	0	72	872	133	831	67	403	392	185	360	1036	487	154	809	396	218	577	757	716	573	603	457	323	428	178	148	205	100	468	69	55	1488	874	285	16	0	934	932	1006	6	9	19	3	10	214	156	47	35	397	40	133	297	210	306	0	7	1593	1266	992	0	0	0	0	0	45	169	147	59	145	163	39	44	111	62	173	51	53	231	67	232	239	346	864	414	259	481	983	453	159	1520	722	396	154	486
f94c0dd49f5477aadee027ee23f7329e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d6d64c940b58234167a2d5aede17f8f3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0ea7c8e974bc662d5572f83679114980	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	7	0	0	0	0	0	0	0	31	0	9	0	0	7	0	8	0	0	0	5	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0
447af38e162116016ad0813f60338c7f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5f8ebf03598457ea474bcd54ca929029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
