SampleID	Group	Location
M3-1	EV-RNAi-AS-1	EV-RNAi-AS
M3-2	EV-RNAi-AS-2	EV-RNAi-AS
M3-3	EV-RNAi-AS-3	EV-RNAi-AS
M3-4	EV-RNAi-AS-4	EV-RNAi-AS
M3-5	EV-RNAi-AS-5	EV-RNAi-AS
N3-3-1	RIDCL1-RNAi-AS-1	RIDCL1-RNAi-AS
N3-3-2	RIDCL1-RNAi-AS-2	RIDCL1-RNAi-AS
N3-3-3	RIDCL1-RNAi-AS-3	RIDCL1-RNAi-AS
N3-3-4	RIDCL1-RNAi-AS-4	RIDCL1-RNAi-AS
N3-3-5	RIDCL1-RNAi-AS-5	RIDCL1-RNAi-AS
O3-1	EV-RNAi-S-1	EV-RNAi-S
O3-2	EV-RNAi-S-2	EV-RNAi-S
O3-3	EV-RNAi-S-3	EV-RNAi-S
O3-4	EV-RNAi-S-4	EV-RNAi-S
O3-5	EV-RNAi-S-5	EV-RNAi-S
P3-3-1	RIDCL1-RNAi-S-1	RIDCL1-RNAi-S
P3-3-2	RIDCL1-RNAi-S-2	RIDCL1-RNAi-S
P3-3-3	RIDCL1-RNAi-S-3	RIDCL1-RNAi-S
P3-3-4	RIDCL1-RNAi-S-4	RIDCL1-RNAi-S
P3-3-5	RIDCL1-RNAi-S-5	RIDCL1-RNAi-S
Q3-1	EV-RNAi-AR-1	EV-RNAi-AR
Q3-2	EV-RNAi-AR-2	EV-RNAi-AR
Q3-3	EV-RNAi-AR-3	EV-RNAi-AR
Q3-4	EV-RNAi-AR-4	EV-RNAi-AR
Q3-5	EV-RNAi-AR-5	EV-RNAi-AR
R3-3-1	RIDCL1-RNAi-AR-1	RIDCL1-RNAi-AR
R3-3-2	RIDCL1-RNAi-AR-2	RIDCL1-RNAi-AR
R3-3-3	RIDCL1-RNAi-AR-3	RIDCL1-RNAi-AR
R3-3-4	RIDCL1-RNAi-AR-4	RIDCL1-RNAi-AR
R3-3-5	RIDCL1-RNAi-AR-5	RIDCL1-RNAi-AR
S3-1	EV-RNAi-R-1	EV-RNAi-R
S3-2	EV-RNAi-R-2	EV-RNAi-R
S3-3	EV-RNAi-R-3	EV-RNAi-R
S3-4	EV-RNAi-R-4	EV-RNAi-R
S3-5	EV-RNAi-R-5	EV-RNAi-R
T3-3-1	RIDCL1-RNAi-R-1	RIDCL1-RNAi-R
T3-3-2	RIDCL1-RNAi-R-2	RIDCL1-RNAi-R
T3-3-3	RIDCL1-RNAi-R-3	RIDCL1-RNAi-R
T3-3-4	RIDCL1-RNAi-R-4	RIDCL1-RNAi-R
T3-3-5	RIDCL1-RNAi-R-5	RIDCL1-RNAi-R
A1-1	WT-AS-1	WT-AS
A1-2	WT-AS-2	WT-AS
A1-3	WT-AS-3	WT-AS
A1-4	WT-AS-4	WT-AS
A1-5	WT-AS-5	WT-AS
B2-3-1	RIRNC2-RNAi-AS-1	RIRNC2-RNAi-AS
B2-3-2	RIRNC2-RNAi-AS-2	RIRNC2-RNAi-AS
B2-3-3	RIRNC2-RNAi-AS-3	RIRNC2-RNAi-AS
B2-3-4	RIRNC2-RNAi-AS-4	RIRNC2-RNAi-AS
B2-3-5	RIRNC2-RNAi-AS-5	RIRNC2-RNAi-AS
C3-7-1	RIRNC3-RNAi-AS-1	RIRNC3-RNAi-AS
C3-7-2	RIRNC3-RNAi-AS-2	RIRNC3-RNAi-AS
C3-7-3	RIRNC3-RNAi-AS-3	RIRNC3-RNAi-AS
C3-7-4	RIRNC3-RNAi-AS-4	RIRNC3-RNAi-AS
C3-7-5	RIRNC3-RNAi-AS-5	RIRNC3-RNAi-AS
D1-1	WT-S-1	WT-S
D1-2	WT-S-2	WT-S
D1-3	WT-S-3	WT-S
D1-4	WT-S-4	WT-S
D1-5	WT-S-5	WT-S
E2-3-1	RIRNC2-RNAi-S-1	RIRNC2-RNAi-S
E2-3-2	RIRNC2-RNAi-S-2	RIRNC2-RNAi-S
E2-3-3	RIRNC2-RNAi-S-3	RIRNC2-RNAi-S
E2-3-4	RIRNC2-RNAi-S-4	RIRNC2-RNAi-S
E2-3-5	RIRNC2-RNAi-S-5	RIRNC2-RNAi-S
F3-7-1	RIRNC3-RNAi-S-1	RIRNC3-RNAi-S
F3-7-2	RIRNC3-RNAi-S-2	RIRNC3-RNAi-S
F3-7-3	RIRNC3-RNAi-S-3	RIRNC3-RNAi-S
F3-7-4	RIRNC3-RNAi-S-4	RIRNC3-RNAi-S
F3-7-5	RIRNC3-RNAi-S-5	RIRNC3-RNAi-S
U1-1	WT-AR-1	WT-AR
U1-2	WT-AR-2	WT-AR
U1-3	WT-AR-3	WT-AR
