FeatureID	Kingdom	Phylum	Class	Order	Family	Genus	Species	Confidence
e72b4c1efe646dc88ca41efb651a4a8f	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	nan	nan	nan	0.999984853
01f8f0f9b5ddf4b854efed10ccf56369	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Saccharimonadales	Saccharimonadales	nan	0.869734135
c75d0efd9edc075d6d41b6351461919a	Bacteria	Patescibacteria	Parcubacteria	Candidatus_Kaiserbacteria	Candidatus_Kaiserbacteria	Candidatus_Kaiserbacteria	nan	0.999996848
ccfc1f5e9005b7969dc1425776f97f2d	Bacteria	Patescibacteria	Parcubacteria	Candidatus_Kaiserbacteria	Candidatus_Kaiserbacteria	Candidatus_Kaiserbacteria	nan	0.999993831
dfb4fbadf5348c78ec544fa4aa0db88b	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	uncultured	uncultured	nan	0.902452395
2c5664be3648ec09af1630d2cf1adebe	Bacteria	Patescibacteria	Parcubacteria	Candidatus_Kaiserbacteria	Candidatus_Kaiserbacteria	Candidatus_Kaiserbacteria	nan	0.999761163
f94c0dd49f5477aadee027ee23f7329e	Bacteria	Firmicutes	Bacilli	Thermoactinomycetales	Thermoactinomycetaceae	Baia	nan	0.971112905
d6d64c940b58234167a2d5aede17f8f3	Bacteria	Patescibacteria	Parcubacteria	Candidatus_Kaiserbacteria	Candidatus_Kaiserbacteria	Candidatus_Kaiserbacteria	uncultured_bacterium	0.708448048
0ea7c8e974bc662d5572f83679114980	Bacteria	Patescibacteria	Parcubacteria	Candidatus_Kaiserbacteria	Candidatus_Kaiserbacteria	Candidatus_Kaiserbacteria	nan	0.999996702
447af38e162116016ad0813f60338c7f	Bacteria	Patescibacteria	Parcubacteria	Candidatus_Kaiserbacteria	Candidatus_Kaiserbacteria	Candidatus_Kaiserbacteria	uncultured_bacterium	0.945261286
5f8ebf03598457ea474bcd54ca929029	Bacteria	Patescibacteria	Parcubacteria	Candidatus_Kaiserbacteria	Candidatus_Kaiserbacteria	Candidatus_Kaiserbacteria	uncultured_bacterium	0.945876041
8c7fe007c94ddc73d3c93cdeecab8c52	Bacteria	Patescibacteria	Parcubacteria	Candidatus_Kaiserbacteria	Candidatus_Kaiserbacteria	Candidatus_Kaiserbacteria	uncultured_bacterium	0.933271053
80730205237e716666a7b5f5a9660a04	Bacteria	Patescibacteria	Parcubacteria	Candidatus_Kaiserbacteria	Candidatus_Kaiserbacteria	Candidatus_Kaiserbacteria	uncultured_bacterium	0.926079825
6b1710541238379b14ea90bcd75edd92	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Amoebophilaceae	Candidatus_Amoebophilus	Candidatus_Amoebophilus	0.728134846
876147b837684a9f1355a4f1531fc5da	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	nan	0.995876337
86d0c5e5c816300739c5d13de6a59afa	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	uncultured	uncultured	nan	0.95783963
b3f9cee939393a7560d27dde138b3b08	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Microscillaceae	uncultured	Cytophagales_bacterium	0.949183374
b5beef68d14e57198d1e76955deb1a4e	Bacteria	Planctomycetota	Phycisphaerae	CCM11a	CCM11a	CCM11a	nan	0.999950409
db2be608edf67075b3a24e21d8851aff	Bacteria	Planctomycetota	Phycisphaerae	CCM11a	CCM11a	CCM11a	nan	0.999857433
8c9d667663fabb08eee5d879e107e50a	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	CPla-3_termite_group	CPla-3_termite_group	nan	0.999997491
88a4de6e60bd0dece6f8ceac96185787	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	CPla-3_termite_group	CPla-3_termite_group	nan	0.999997803
be044a88653c579232fc610b1d404088	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	CPla-3_termite_group	CPla-3_termite_group	metagenome	0.980200809
dc6589eb7359947f6cf89e941cd64a40	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	CPla-3_termite_group	CPla-3_termite_group	metagenome	0.948927613
ca0192780efbfadad5d3590deb1590f6	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	CPla-3_termite_group	CPla-3_termite_group	metagenome	0.915621169
6d10dc30b856307528f8f46b74bd5be0	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	CPla-3_termite_group	CPla-3_termite_group	metagenome	0.955052877
f3e126acf079816791a8593f661c26d4	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	CPla-3_termite_group	CPla-3_termite_group	metagenome	0.956720237
b375310595893402c45259bbdb7aebf2	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	CPla-3_termite_group	CPla-3_termite_group	nan	0.999991221
b779fd99320a84f8130c101548cdb44c	Bacteria	Chloroflexi	Anaerolineae	Ardenticatenales	uncultured	uncultured	uncultured_bacterium	0.86183263
5302777f7acc223c8b96814f31ac0b2e	Bacteria	Chloroflexi	Anaerolineae	Ardenticatenales	uncultured	uncultured	uncultured_bacterium	0.843391942
976a7c7923d6b26bfff4de0ecf0d3b2b	Bacteria	Chloroflexi	nan	nan	nan	nan	nan	0.916307597
3abadb771f7d809c525192343c8ad8e8	Bacteria	Chloroflexi	nan	nan	nan	nan	nan	0.937483415
0cf84c913809088cb215e1ebe76d79b6	Bacteria	Chloroflexi	JG30-KF-CM66	JG30-KF-CM66	JG30-KF-CM66	JG30-KF-CM66	metagenome	0.989886227
5ed10850f8fb1de988d600002a92bef5	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	JG30-KF-CM45	JG30-KF-CM45	uncultured_soil	0.846240463
99318d1a82949a56d0501b33b3957557	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	JG30-KF-CM45	JG30-KF-CM45	uncultured_soil	0.883271981
2413590a8b2016d405123bbe5bf507c4	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	JG30-KF-CM45	JG30-KF-CM45	nan	0.999996583
cccd709b9b42f4eedaf65041983d3dcf	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	JG30-KF-CM45	JG30-KF-CM45	nan	0.999991113
5e53017872ab257703623704b7df4458	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	JG30-KF-CM45	JG30-KF-CM45	nan	0.999995154
