FeatureID	HEB-0N-1	HEB-0N-2	HEB-0N-3	HEB-0N-4	HEB-0N-5	HEB-N-1	HEB-N-2	HEB-N-3	HEB-N-4	HEB-N-5	NMG-0N-1	NMG-0N-2	NMG-0N-3	NMG-0N-4	NMG-0N-5	NMG-N-1	NMG-N-2	NMG-N-3	NMG-N-4	NMG-N-5	XJ-HN-1	XJ-HN-2	XJ-HN-3	XJ-HN-4	XJ-HN-5	XJ-LN-1	XJ-LN-2	XJ-LN-3	XJ-LN-4	XJ-LN-5
683d4de704c5d794f2a198413632eaad	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
41caf5853f65db7ddbe9239133f84a5d	1041	403	247	876	3405	484	1039	5131	1160	602	385	291	734	227	210	576	623	485	318	210	32	173	28	267	374	370	235	51	175	81
2a364900db05cdc33ac02785832e839a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
d8dd6d81ead42c5836006fac1426fffb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0
c83cb00187ca93599200bf98d8a28394	0	0	38	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a42e41ac5b951e0db0d02ab0131f5940	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	19	0
659a700d7123de3eb7e9c2a5e354b417	0	0	0	0	0	0	26	0	0	69	60	85	36	66	21	99	111	44	80	47	0	0	0	68	52	0	0	0	0	0
91593a993d30571b14a6c0f347900812	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1683d3dfd75e0fbdd80ff0241dce54cb	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b8ecef758e094784aa96fdc33a0ec960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	14	0	0	0	0	0	0
684bd14ac818d94667f4b6c2a1e39c21	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
977d7b50e21c85480528a7beee7c7afa	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4e95b2714ddcfe166faef0574e015174	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	20	0	52	0	0	0	0	0	0	0	0	0	0	0
e48333a5bdc8c334892fa357ecc6ab9a	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	40	69	0	0	0	0	0	0	0	0	0	0	0	0	0
694b4330ccf68fb7bf75bd12a9b82959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
eae6faad7a902a994953dd4475116f0a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	232	48	0	0	0	0
8f05c2e91c527e1f165a40848af9ca02	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1851c1d4b077b5988a841f755629acb9	8	25	0	10	28	8	0	115	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bab527be5d801f144f83436707c76acb	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a248cbca07a0a229ab02b200d3115c96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
103157cc0a6254442a9cf661d3438d21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0
1e7c61d84e47ec066f2b21a5e059c4bb	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
79c9bb564014dd8abd64bc92ee43636f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0
abab49634021c77c5af26335c500b034	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	28	16	18	0	0	0	0	0	0	0	0	0	0
979ff84e85a6a5d234e6ac62df77dc96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	2	0	0
b6f6308482b671356080781e74468c25	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c97cd32073553e1bd129050c2a9075a9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c1fae61d82e5dffee1de6e71b995c089	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f068df8b237b432673c0962ff5f72be4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
0256a9802474da99cbe8f8e06865ec4d	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
