SampleID	Group	Location
HEB-0N-1	HEB-0N	HEB
HEB-0N-2	HEB-0N	HEB
HEB-0N-3	HEB-0N	HEB
HEB-0N-4	HEB-0N	HEB
HEB-0N-5	HEB-0N	HEB
HEB-N-1	HEB-N	HEB
HEB-N-2	HEB-N	HEB
HEB-N-3	HEB-N	HEB
HEB-N-4	HEB-N	HEB
HEB-N-5	HEB-N	HEB
NMG-0N-1	NMG-0N	NMG
NMG-0N-2	NMG-0N	NMG
NMG-0N-3	NMG-0N	NMG
NMG-0N-4	NMG-0N	NMG
NMG-0N-5	NMG-0N	NMG
NMG-N-1	NMG-N	NMG
NMG-N-2	NMG-N	NMG
NMG-N-3	NMG-N	NMG
NMG-N-4	NMG-N	NMG
NMG-N-5	NMG-N	NMG
XJ-HN-1	XJ-N	XJ
XJ-HN-2	XJ-N	XJ
XJ-HN-3	XJ-N	XJ
XJ-HN-4	XJ-N	XJ
XJ-HN-5	XJ-N	XJ
XJ-LN-1	XJ-0N	XJ
XJ-LN-2	XJ-0N	XJ
XJ-LN-3	XJ-0N	XJ
XJ-LN-4	XJ-0N	XJ
XJ-LN-5	XJ-0N	XJ
