FeatureID	Kingdom	Phylum	Class	Order	Family	Genus	Species	Confidence
1eee443f4966d86aea31e647a3d698ab	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Unclassified	0.999957264
53c7c8e4b059373828142e09f2becf45	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Unclassified	0.999956091
c1bdb6cfe0f8c80c8b2701da956e8220	Bacteria	Bacteroidota	SJA-28	SJA-28	SJA-28	SJA-28	Unclassified	0.999864177
cfc40b9be8f08eac608fd977b9a414a5	Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	P3OB-42	Unclassified	0.988618652
b36f7af7da60fad1573f81dd4a2dc069	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	Unclassified	0.884192871
47e2638d5d9a7f944a0b1646b55eb371	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides_vulgatus	0.940607484
b138626bc0e098ec38e60dae478503ff	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	NA	Unclassified	Unclassified	0.993144123
0c1bf635de82008c99cef99901ed45b1	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Herpetosiphonaceae	Herpetosiphon	Unclassified	0.997952955
e703d43e7375ab5fb56e319f38e160ed	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiales	Candidatus_Jidaibacter	metagenome	0.927703887
83721c2b73f4ac9edf042775ec30616e	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio	uncultured_bacterium	0.716240579
4d1ceefb941fc0ac80a78c96a8639c71	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	Unclassified	0.87773995
81872086bba54419b25b0f2de2648fe6	Bacteria	Bacteroidota	Kapabacteria	Kapabacteriales	Kapabacteriales	Kapabacteriales	Unclassified	0.997846045
3968874d5c637ce1bfcf72555d87e27a	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	Unclassified	0.87798126
2b8d93bb5221b80b09347789548f5610	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Lacibacter	Unclassified	0.999470295
433ec87abd485e62307740d2eb8ae962	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	uncultured	Unclassified	Unclassified	0.865793243
da43363a1866e833cc03f923755e6fca	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	AKYH767	AKYH767	uncultured_bacterium	0.869056016
8e936443b3b1374032481c819eb4664b	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Bryobacter	Unclassified	0.999402808
52e9073346f2ecedc1d9e0a1907ec74f	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Bryobacter	Unclassified	0.993302626
bf9928adcfd3de317cafe11fda530978	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Unclassified	Unclassified	0.926539558
0140beb2c32d2277fe153eb84e8c3bbc	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Unclassified	Unclassified	0.999723434
c53a9d467ce75b48604de4231b068045	Bacteria	Acidobacteriota	Acidobacteriae	Solibacterales	Solibacteraceae	Candidatus_Solibacter	uncultured_eubacterium	0.708203808
0f3d2750045513097bf1b27a14483e66	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Unclassified	Unclassified	0.854094896
11a9ef87323891d1fbdaa5c15acb6203	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Unclassified	Unclassified	0.975238725
7325d02fb83a261b41d91c3e0b1a88f7	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Unclassified	Unclassified	0.985524891
f368774ff93e2faedf5bbd7b652204ac	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Unclassified	Unclassified	0.999525131
2fb8d8d466700d440d20a030b23c297b	Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Nitrospira	uncultured_soil	0.942459859
5d8ecee0e7981e0a8945d1f15868ad12	Bacteria	Armatimonadota	Fimbriimonadia	Fimbriimonadales	Fimbriimonadaceae	Fimbriimonadaceae	Unclassified	0.999414037
a60c2aa6348ce9fb3582a0e658bce619	Bacteria	NA	NA	NA	NA	Unclassified	Unclassified	0.999919071
2c9680646922f14e32fca93852bb1cba	Bacteria	Proteobacteria	Gammaproteobacteria	Nitrosococcales	Methylophagaceae	Methylophaga	Unclassified	0.985563318
6ef2f5d7178fba14dda1b4b73bd871ff	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Unclassified	Unclassified	0.970222692
8456da2f1e61dfb1ea67772c2cb71667	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Unclassified	Unclassified	0.999777849
1907cf55e30e9c1adc69ebeecb8a0e55	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Unclassified	Unclassified	0.999955274
97365bfb77f29ecde6eb806db5cb29b3	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	Ellin6067	Unclassified	0.994507992
eb5f784296c1c61f34b78e878a1d48ec	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Unclassified	Unclassified	0.991626653
6acae35ce532425b8bcd720a7b6f7b27	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Thauera	Unclassified	0.980567601
eecac5ffd00ba9a93f8286149852e330	Bacteria	NA	NA	NA	NA	Unclassified	Unclassified	0.999997167
d420c5eba9610e54bcd16438999958e9	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	NS11-12_marine_group	NS11-12_marine_group	metagenome	0.950833292
5b89c6fd594ea5e6e02eedc0f6c84233	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	Unclassified	Unclassified	0.941021624
9a6e4de00f6d3735063961d6cd04db8c	Bacteria	Actinobacteriota	Rubrobacteria	Rubrobacterales	Rubrobacteriaceae	Rubrobacter	uncultured_Rubrobacter	0.718054227
f2af82618fa615148c5a3cea24d9c1fc	Bacteria	Bdellovibrionota	Bdellovibrionia	Bacteriovoracales	Bacteriovoracaceae	Peredibacter	Unclassified	0.999977429
9ab3818011a4e485e20a55a41fc49951	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	Kouleothrix	Unclassified	0.954765627
eef688d4b579774acd47036b62f7bf89	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	NA	Unclassified	Unclassified	0.821489811
8359b062159b9cce2b3cadda739fe94a	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylobacterium-Methylorubrum	Unclassified	0.99999898
b84c606585eaeadfaf28863d9310f846	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylobacterium-Methylorubrum	Unclassified	0.993249766
a7248cc0f6bff651c135f63ba1799722	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	Unclassified	0.974197397
0015497af0d851913561aaac22047c96	Bacteria	NA	NA	NA	NA	Unclassified	Unclassified	0.999999975
59952e5c7d20641dbe355c64a3fe2115	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Alcanivoracaceae	Ketobacter	uncultured_soil	0.946657375
84ff0f53de3ed77527d4b77bd6e863be	Bacteria	Myxococcota	Polyangia	Haliangiales	Haliangiaceae	Haliangium	Unclassified	0.998602632
466355e2ac6a24aedd27c5cdd9d3603a	Bacteria	Proteobacteria	Alphaproteobacteria	Azospirillales	Azospirillaceae	Skermanella	Unclassified	0.999358704
a1c62d328edd7316f4a132e24ed5ca57	Bacteria	Myxococcota	Polyangia	Haliangiales	Haliangiaceae	Haliangium	Unclassified	0.999981781
10f303e733565f86d059e45c9e89b41c	Bacteria	Myxococcota	Polyangia	Polyangiales	BIrii41	BIrii41	uncultured_bacterium	0.862751338
84782ab23d4084f04d4fecb83300d72a	Bacteria	Myxococcota	Polyangia	Haliangiales	Haliangiaceae	Haliangium	Unclassified	0.998823269
0be1be40e23bfab1397fc527f44aeca6	Bacteria	Myxococcota	Polyangia	Haliangiales	Haliangiaceae	Haliangium	uncultured_Myxococcales	0.951552856
88937ce1da27ed83cea1e3da697056b2	Bacteria	Firmicutes	Desulfitobacteriia	Desulfitobacteriales	Desulfitobacteriaceae	Desulfosporosinus	Unclassified	0.709853842
2ac8f9084300068f2a803021153735fb	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	uncultured	Unclassified	Unclassified	0.957140677
8236409ba42fc72021ed66f989030507	Bacteria	Firmicutes	NA	NA	NA	Unclassified	Unclassified	0.775856001
